xx,yy,latitude,longitude,percentage,bezirk
142,74,52.5121156048461,13.4165070335442,5,Mitte
124,79,52.5033750062834,13.3492174661289,5,Mitte
157,15,52.6421358731048,13.4851382248699,5,Pankow
166,17,52.6363951680426,13.5178582981108,1,Pankow
70,54,52.5665152482639,13.1559586207823,2,Spandau
129,62,52.540764027299,13.3713819689554,3,Mitte
144,66,52.5297531163551,13.425663265164,4,Pankow
73,77,52.5146099780115,13.1621219424665,5,Spandau
156,48,52.5683922406485,13.4739009135528,0,Pankow
141,38,52.5928604851117,13.4209400504952,3,Pankow
142,38,52.5927226749003,13.4246232834593,3,Pankow
143,38,52.5925847504011,13.4283064865276,3,Pankow
144,38,52.5924467116163,13.4319896596758,3,Pankow
198,73,52.5064772127605,13.6225799309079,3,Marzahn-Hellersdorf
199,73,52.5063332972349,13.6262549145564,3,Marzahn-Hellersdorf
195,76,52.5001927313529,13.6108505763338,3,Marzahn-Hellersdorf
196,76,52.5000491919996,13.6145250967741,3,Marzahn-Hellersdorf
182,79,52.495332377182,13.5623822917979,3,Marzahn-Hellersdorf
192,79,52.4939070035652,13.5991245582979,3,Marzahn-Hellersdorf
200,79,52.4927585104813,13.6285161483082,3,Marzahn-Hellersdorf
193,81,52.4892867467268,13.6023302180991,3,Marzahn-Hellersdorf
194,81,52.4891434926194,13.6060038736584,3,Marzahn-Hellersdorf
197,81,52.4887130476007,13.6170246546512,3,Marzahn-Hellersdorf
224,101,52.4400289017513,13.7114071557849,3,Treptow-Köpenick
225,101,52.4398823570435,13.7150761433491,3,Treptow-Köpenick
226,101,52.4397356988015,13.7187450993428,3,Treptow-Köpenick
167,111,52.4258053712997,13.4999375079133,3,Neukölln
168,111,52.4256654142035,13.5036064067428,3,Neukölln
183,111,52.4235524307145,13.5586362585089,3,Treptow-Köpenick
184,111,52.4234106567765,13.5623046721557,3,Treptow-Köpenick
185,111,52.4232687693042,13.5659730552738,3,Treptow-Köpenick
193,111,52.4221295825535,13.5953190182929,3,Treptow-Köpenick
150,115,52.4192109275407,13.4366606592442,3,Neukölln
151,115,52.419072945794,13.4403293277722,3,Neukölln
154,115,52.4186583191503,13.4513351549859,3,Neukölln
159,115,52.4179650035256,13.4696776043279,3,Neukölln
162,115,52.417547651513,13.4806827152637,3,Neukölln
163,115,52.417408307082,13.4843510256528,3,Neukölln
170,115,52.4164297169741,13.5100283569823,3,Neukölln
172,115,52.416149098014,13.5173644661911,3,Neukölln
179,115,52.4151633557619,13.5430398952764,3,Treptow-Köpenick
175,116,52.4134885100972,13.5281386163129,3,Treptow-Köpenick
177,116,52.4132067785631,13.5354740538411,3,Treptow-Köpenick
179,116,52.4129245930124,13.542809370035,3,Treptow-Köpenick
180,116,52.4127833299862,13.5464769825714,3,Treptow-Köpenick
187,116,52.4117913109887,13.5721494176154,3,Treptow-Köpenick
192,116,52.4110793214716,13.5904859544709,3,Treptow-Köpenick
212,116,52.4082029982314,13.6638243981769,3,Treptow-Köpenick
118,120,52.4123691622269,13.3181517212694,3,Steglitz-Zehlendorf
159,21,52.6284229441072,13.4911337104692,5,Pankow
160,21,52.628282885541,13.4948195760839,5,Pankow
161,21,52.6281427125703,13.4985054112723,5,Pankow
162,21,52.6280024251972,13.5021912160098,5,Pankow
129,22,52.6303323162862,13.3803196683107,5,Pankow
130,22,52.6301957018509,13.384006248227,5,Pankow
127,29,52.6149307729919,13.371381535532,5,Reinickendorf
142,29,52.6128741319148,13.4266583693475,5,Pankow
143,29,52.6127361074707,13.4303432529723,5,Pankow
125,30,52.6129638150258,13.3637877233371,5,Reinickendorf
127,30,52.6126915628061,13.3711580986102,5,Reinickendorf
128,30,52.6125552651065,13.3748432419035,5,Reinickendorf
140,30,52.6109107708595,13.4190626460196,5,Pankow
141,30,52.6107729862487,13.4227474026693,5,Pankow
149,30,52.609666592474,13.4522243769331,5,Pankow
140,32,52.6064326325981,13.4186110028226,5,Pankow
142,32,52.6061569933899,13.4259797390193,5,Pankow
143,32,52.6060190022709,13.4296640622391,5,Pankow
144,32,52.6058808968114,13.4333483555071,5,Pankow
150,32,52.6050498630244,13.4554534847594,5,Pankow
151,32,52.6049109572414,13.4591375676804,5,Pankow
156,32,52.6042147135185,13.4775575295843,5,Pankow
110,33,52.6082729249856,13.3078455563964,5,Reinickendorf
111,33,52.6081386046874,13.3115306382218,5,Reinickendorf
114,33,52.6077349574104,13.3225857086235,5,Reinickendorf
118,33,52.6071951595595,13.3373253930703,5,Reinickendorf
123,33,52.6065178386233,13.3557493384237,5,Reinickendorf
124,33,52.6063820313073,13.359434039222,5,Reinickendorf
126,33,52.6061100735631,13.3668033523503,5,Reinickendorf
140,33,52.6041935611683,13.4183852258889,5,Pankow
126,35,52.6016316176115,13.3663571172343,5,Reinickendorf
147,35,52.5987489089213,13.4437198926715,5,Pankow
115,36,52.6008821335327,13.325607530122,5,Reinickendorf
116,36,52.6007472738346,13.3292919053552,5,Reinickendorf
118,36,52.6004772113585,13.3366605679876,5,Reinickendorf
120,36,52.6002066914563,13.3440291133448,5,Reinickendorf
121,36,52.6000712599757,13.3477133419839,5,Reinickendorf
129,36,52.5989836916972,13.3771861109175,5,Pankow
130,38,52.5943688538371,13.3804225217678,5,Pankow
131,38,52.5942323009311,13.3841060819706,5,Pankow
136,38,52.5935478217776,13.4025234380951,5,Pankow
150,38,52.5916160790271,13.4540880688728,5,Pankow
151,38,52.5914772403022,13.4577710318955,5,Pankow
139,40,52.5886575777408,13.4131227011471,5,Pankow
144,40,52.5879686375912,13.4315369998489,5,Pankow
150,40,52.5871381386806,13.4536331701974,5,Pankow
125,41,52.5883321618489,13.3613359697861,5,Pankow
126,41,52.5881962133586,13.3650191177427,5,Pankow
127,41,52.5880601505743,13.3687022362106,5,Pankow
128,41,52.5879239734979,13.3723853251652,5,Pankow
134,41,52.5871045110242,13.394483237745,5,Pankow
136,41,52.5868304426252,13.4018489713904,5,Pankow
137,41,52.586693237015,13.4055317936253,5,Pankow
138,41,52.5865559171338,13.4092145861025,5,Pankow
139,41,52.5864184829837,13.4128973487974,5,Pankow
141,41,52.5861432718854,13.420262784743,5,Pankow
142,41,52.5860054949413,13.4239454579447,5,Pankow
143,41,52.5858676037369,13.4276281012665,5,Pankow
110,43,52.5858788443763,13.3056454364852,5,Reinickendorf
111,43,52.5857446321548,13.3093286504641,5,Reinickendorf
116,43,52.5850718564824,13.3277442831956,5,Reinickendorf
117,43,52.5849369584495,13.3314273221381,5,Reinickendorf
118,43,52.5848019461219,13.3351103318222,5,Reinickendorf
125,43,52.5838536597541,13.360890578323,5,Pankow
126,43,52.5837177331444,13.36457335306,5,Pankow
127,43,52.5835816922588,13.3682560983184,5,Pankow
128,43,52.5834455370995,13.371938814074,5,Pankow
129,43,52.5833092676685,13.3756215003022,5,Pankow
133,43,52.5827630472695,13.3903519494528,5,Pankow
136,43,52.5823521822206,13.4013994750809,5,Pankow
137,43,52.5822149986918,13.4050819242104,5,Pankow
138,43,52.5820777009102,13.4087643435926,5,Pankow
139,43,52.581940288878,13.4124467332031,5,Pankow
140,43,52.5818027625972,13.4161290930174,5,Pankow
141,43,52.5816651220701,13.419811423011,5,Pankow
142,43,52.5815273672987,13.4234937231597,5,Pankow
143,43,52.5813894982851,13.4271759934388,5,Pankow
139,45,52.5774620886507,13.4119962363807,5,Pankow
143,45,52.5769113866939,13.4267240047728,5,Pankow
164,45,52.5739902213682,13.5040369081235,5,Lichtenberg
165,45,52.5738498621543,13.5077181423837,5,Lichtenberg
166,45,52.5737093887658,13.5113993462237,5,Lichtenberg
167,45,52.5735688012047,13.5150805196189,5,Lichtenberg
169,45,52.5732872835735,13.5224427749777,5,Lichtenberg
178,45,52.572014803264,13.5555714106418,5,Lichtenberg
124,46,52.5772716747978,13.3565404667263,5,Reinickendorf
127,46,52.5768639934083,13.367587111972,5,Reinickendorf
128,46,52.5767278711163,13.3712692681118,5,Reinickendorf
130,46,52.5764552838014,13.3786334918315,5,Pankow
131,46,52.5763188187827,13.3823155593626,5,Pankow
133,46,52.5760455460334,13.3896796056451,5,Pankow
135,46,52.5757718163489,13.3970435333917,5,Pankow
139,46,52.5752229862417,13.411771032496,5,Pankow
140,46,52.5750854931568,13.4154528328819,5,Pankow
141,46,52.5749478858528,13.4191346034629,5,Pankow
142,46,52.5748101643319,13.4228163442145,5,Pankow
145,46,52.5743963144889,13.4338613872493,5,Pankow
150,46,52.5737042806103,13.4522691934419,5,Pankow
164,47,52.5695125736705,13.5035772112087,5,Lichtenberg
167,47,52.5690912213108,13.5146197048908,5,Lichtenberg
168,47,52.568950542217,13.5183004752338,5,Lichtenberg
169,47,52.5688097489732,13.5219812150941,5,Lichtenberg
171,47,52.5685278200443,13.5293426032687,5,Lichtenberg
177,47,52.5676792938832,13.5514260336708,5,Marzahn-Hellersdorf
179,47,52.5673955387626,13.5587869317811,5,Marzahn-Hellersdorf
181,47,52.5671113271377,13.5661477068878,5,Marzahn-Hellersdorf
182,47,52.5669690501416,13.569828048254,5,Marzahn-Hellersdorf
183,47,52.5668266590259,13.5735083587963,5,Marzahn-Hellersdorf
185,47,52.5665415344448,13.5808688873115,5,Marzahn-Hellersdorf
119,48,52.5734702106242,13.3376859434135,5,Reinickendorf
120,48,52.5733350241218,13.3413679617299,5,Reinickendorf
122,48,52.5730643083907,13.3487319104204,5,Reinickendorf
124,48,52.5727931357053,13.3560957416914,5,Reinickendorf
125,48,52.57265737801,13.3597776132335,5,Reinickendorf
126,48,52.5725215060823,13.3634594553474,5,Reinickendorf
127,48,52.5723855199243,13.3671412680088,5,Reinickendorf
128,48,52.5722494195382,13.3708230511932,5,Reinickendorf
129,48,52.5721132049261,13.3745048048761,5,Reinickendorf
130,48,52.57197687609,13.3781865290332,5,Reinickendorf
131,48,52.5718404330321,13.38186822364,5,Reinickendorf
139,48,52.5707447768337,13.4113207137535,5,Pankow
140,48,52.5706073058737,13.4150021413089,5,Pankow
141,48,52.5704697207129,13.4186835390698,5,Pankow
142,48,52.5703320213534,13.4223649070118,5,Pankow
143,48,52.5701942077973,13.4260462451105,5,Pankow
149,48,52.5693649284521,13.4481336456276,5,Pankow
163,48,52.5674139586758,13.4996667024204,5,Lichtenberg
164,48,52.5672737474843,13.5033474081744,5,Lichtenberg
165,48,52.5671334221433,13.5070280835484,5,Lichtenberg
168,48,52.5667117612446,13.518069927147,5,Lichtenberg
169,48,52.5665709793271,13.5217504807575,5,Lichtenberg
170,48,52.5664300832708,13.5254310038662,5,Lichtenberg
119,49,52.5712308843253,13.337464557212,5,Reinickendorf
120,49,52.5710957087012,13.341146389046,5,Reinickendorf
121,49,52.5709604188435,13.3448281915791,5,Reinickendorf
122,49,52.5708250147542,13.348509964787,5,Reinickendorf
124,49,52.5705538638893,13.3558734231291,5,Reinickendorf
127,49,52.5701462809075,13.3669183900921,5,Reinickendorf
128,49,52.5700101914728,13.3705999868353,5,Reinickendorf
130,49,52.5697376699546,13.3779630918085,5,Reinickendorf
131,49,52.5696012378753,13.3816445999896,5,Reinickendorf
138,49,52.5686430155403,13.4074143279439,5,Pankow
140,49,52.5683682099356,13.4147768400619,5,Pankow
141,49,52.5682306358447,13.4184580514492,5,Pankow
143,49,52.5679551450963,13.4258203847586,5,Pankow
144,50,52.5655781753039,13.4292754897055,5,Pankow
148,50,52.5650254113559,13.4439989328045,5,Pankow
152,50,52.5644708207586,13.4587218962367,5,Pankow
164,50,52.5627960904376,13.5028878929252,5,Lichtenberg
165,50,52.5626557876727,13.5065681958299,5,Lichtenberg
166,50,52.5625153707788,13.5102484683409,5,Lichtenberg
169,50,52.5620934353435,13.5212891032685,5,Lichtenberg
182,50,52.5602531806772,13.5691286751009,5,Marzahn-Hellersdorf
183,50,52.5601108239193,13.5728084271926,5,Marzahn-Hellersdorf
184,50,52.5599683530714,13.5764881484523,5,Marzahn-Hellersdorf
115,51,52.5672917004926,13.3222957441427,5,Reinickendorf
116,51,52.5671570035041,13.3259773200029,5,Reinickendorf
117,51,52.567022192292,13.3296588666702,5,Reinickendorf
119,51,52.5667522272049,13.3370218723285,5,Reinickendorf
120,51,52.5666170733341,13.3407033312707,5,Reinickendorf
121,51,52.566481805248,13.3443847609223,5,Reinickendorf
122,51,52.5663464229485,13.3480661612589,5,Reinickendorf
123,51,52.5662109264379,13.3517475322561,5,Reinickendorf
124,51,52.5660753157181,13.3554288738895,5,Reinickendorf
126,51,52.5658037516595,13.3627914689671,5,Reinickendorf
127,51,52.5656677983248,13.3664727223625,5,Reinickendorf
