jahr,bezirk,ortsteil,all16,all50,leitung16,leitung50,rf16,rf50
2011,Charlottenburg-Wilmersdorf,Charlottenburg,98,95,98,95,0,0
2011,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,94,75,94,75,0,0
2011,Charlottenburg-Wilmersdorf,Grunewald,97,89,97,89,0,0
2011,Charlottenburg-Wilmersdorf,Halensee,99,92,99,92,0,0
2011,Charlottenburg-Wilmersdorf,Schmargendorf,99,88,99,88,0,0
2011,Charlottenburg-Wilmersdorf,Westend,96,83,96,83,0,0
2011,Charlottenburg-Wilmersdorf,Wilmersdorf,100,92,100,92,0,0
2011,Friedrichshain-Kreuzberg,Friedrichshain,88,66,88,66,5,0
2011,Friedrichshain-Kreuzberg,Kreuzberg,96,83,96,83,0,0
2011,Lichtenberg,Alt-Hohenschönhausen,90,69,90,69,0,0
2011,Lichtenberg,Falkenberg,85,71,85,71,0,0
2011,Lichtenberg,Fennpfuhl,91,63,91,63,0,0
2011,Lichtenberg,Friedrichsfelde,93,64,93,64,0,0
2011,Lichtenberg,Karlshorst,92,78,92,78,0,0
2011,Lichtenberg,Lichtenberg,90,72,90,72,0,0
2011,Lichtenberg,Malchow,73,68,73,68,0,0
2011,Lichtenberg,Neu-Hohenschönhausen,81,69,81,69,0,0
2011,Lichtenberg,Rummelsburg,89,56,89,56,0,0
2011,Lichtenberg,Wartenberg,69,55,69,55,0,0
2011,Marzahn-Hellersdorf,Biesdorf,95,71,95,71,0,0
2011,Marzahn-Hellersdorf,Hellersdorf,97,66,97,66,0,0
2011,Marzahn-Hellersdorf,Kaulsdorf,93,69,93,69,0,0
2011,Marzahn-Hellersdorf,Mahlsdorf,91,62,91,62,0,0
2011,Marzahn-Hellersdorf,Marzahn,93,68,93,68,0,0
2011,Mitte,Gesundbrunnen,97,86,97,86,1,0
2011,Mitte,Hansaviertel,98,93,98,93,0,0
2011,Mitte,Mitte,98,76,92,76,69,0
2011,Mitte,Moabit,97,93,97,93,0,0
2011,Mitte,Tiergarten,97,85,97,85,1,0
2011,Mitte,Wedding,98,91,98,91,0,0
2011,Neukölln,Britz,92,75,92,75,0,0
2011,Neukölln,Buckow,96,78,96,78,0,0
2011,Neukölln,Gropiusstadt,94,76,94,76,0,0
2011,Neukölln,Neukölln,98,91,98,91,0,0
2011,Neukölln,Rudow,94,74,94,74,0,0
2011,Pankow,Blankenburg,79,50,79,50,0,0
2011,Pankow,Blankenfelde,47,6,47,6,0,0
2011,Pankow,Buch,85,57,85,57,0,0
2011,Pankow,Französisch Buchholz,91,56,91,56,0,0
2011,Pankow,Heinersdorf,98,62,98,62,0,0
2011,Pankow,Karow,34,17,34,17,0,0
2011,Pankow,Niederschönhausen,78,62,78,62,0,0
2011,Pankow,Pankow,98,71,98,71,0,0
2011,Pankow,Prenzlauer Berg,98,89,97,89,7,0
2011,Pankow,Rosenthal,82,54,82,54,0,0
2011,Pankow,Stadtrandsiedlung Malchow,83,14,83,14,0,0
2011,Pankow,Weißensee,92,53,92,53,0,0
2011,Pankow,Wilhelmsruh,96,91,96,91,0,0
2011,Reinickendorf,Frohnau,98,78,98,78,0,0
2011,Reinickendorf,Heiligensee,96,72,96,72,0,0
2011,Reinickendorf,Hermsdorf,98,80,98,80,0,0
2011,Reinickendorf,Konradshöhe,92,78,92,78,0,0
2011,Reinickendorf,Lübars,97,71,97,71,0,0
2011,Reinickendorf,Märkisches Viertel,96,69,96,69,0,0
2011,Reinickendorf,Reinickendorf,97,82,97,82,0,0
