"hour","x","y","twitter","instagram"
0,69,76,0,1
0,72,121,0,1
0,75,75,0,1
0,82,100,0,1
0,84,66,1,0
0,94,112,0,1
0,105,79,0,5
0,106,82,0,2
0,107,57,0,1
0,107,58,0,3
0,109,70,0,1
0,109,72,0,1
0,109,78,0,1
0,109,83,0,1
0,110,74,0,2
0,110,77,0,1
0,110,101,0,3
0,111,70,0,1
0,111,88,0,1
0,112,80,0,1
0,112,88,0,1
0,113,76,0,1
0,113,83,0,1
0,113,100,0,1
0,114,76,0,9
0,114,81,0,3
0,115,76,0,4
0,115,78,0,1
0,115,79,0,1
0,116,72,1,0
0,116,80,0,1
0,116,91,0,1
0,117,66,0,1
0,117,68,0,1
0,117,77,0,2
0,117,78,0,1
0,117,80,0,1
0,117,81,0,1
0,117,83,0,1
0,118,49,0,1
0,118,70,0,1
0,118,78,1,3
0,118,80,1,1
0,119,66,0,1
0,119,78,0,1
0,119,79,0,3
0,119,80,0,1
0,119,81,0,1
0,119,93,0,1
0,119,97,0,1
0,120,66,0,1
0,120,79,0,2
0,120,82,0,1
0,120,84,0,1
0,120,86,0,1
0,120,91,0,1
0,121,77,0,1
0,121,78,0,3
0,121,79,0,3
0,121,80,0,1
0,121,88,0,1
0,122,68,0,1
0,122,69,0,1
0,122,78,0,1
0,122,79,0,1
0,122,80,0,2
0,123,64,2,0
0,123,69,0,1
0,123,71,0,2
0,123,76,0,1
0,123,83,0,1
0,124,74,0,2
0,125,72,0,1
0,125,73,0,1
0,125,80,0,1
0,125,81,0,2
0,125,90,0,1
0,126,52,0,2
0,126,58,0,1
0,126,70,0,2
0,126,83,0,1
0,127,58,0,3
0,127,86,0,1
0,128,61,1,0
0,128,77,0,2
0,128,78,0,1
0,128,79,0,1
0,128,80,0,2
0,128,82,0,1
0,128,84,0,2
0,129,60,0,2
0,129,68,0,1
0,129,69,0,1
0,129,76,0,1
0,129,78,0,1
0,130,68,0,1
0,130,76,0,5
0,130,119,0,1
0,131,39,0,1
0,131,67,0,1
0,131,72,0,2
0,131,73,2,11
0,131,76,0,7
0,131,77,0,2
0,132,70,1,0
0,132,73,0,6
0,132,74,0,4
0,132,76,0,1
0,132,81,1,1
0,133,70,0,1
0,133,75,0,1
0,133,76,0,1
0,133,77,1,0
0,133,79,0,1
0,133,80,0,1
0,133,85,0,1
0,134,61,0,1
0,134,64,0,1
0,134,68,0,1
0,134,69,0,1
0,134,70,0,2
0,134,72,0,2
0,134,84,0,1
0,134,87,0,2
